Probe Set ID,CG Name,Gene Name,FBgn Number,GO
141395_at,CG10725,CG10725,FBgn0036362,0006030 // chitin metabolic process // inferred from electronic annotation
141399_at,CG8221,Amyrel,FBgn0020506,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation
141419_at,CG10827,CG10827,FBgn0038845,0008152 // metabolic process // inferred from electronic annotation
141420_at,CG13360,CG13360,FBgn0025620,---
141421_at,CG11095,CG11095,FBgn0030528,---
141422_at,CG17309,CG17309,FBgn0037925,0006468 // protein amino acid phosphorylation // inferred from electronic annotation
141428_at,CG12026,CG12026,FBgn0035289,---
141430_at,CG11514,br,FBgn0029586,"0001752 // compound eye photoreceptor fate commitment // inferred from mutant phenotype /// 0006355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 0006914 // autophagy // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007458 // progression of morphogenetic furrow during compound eye morphogenesis // inferred from mutant phenotype /// 0007552 // metamorphosis // non-traceable author statement /// 0007552 // metamorphosis // traceable author statement /// 0007562 // eclosion // inferred from expression pattern /// 0008219 // cell death // traceable author statement /// 0009608 // response to symbiont // inferred from mutant phenotype /// 0035070 // salivary gland histolysis // inferred from mutant phenotype /// 0035070 // salivary gland histolysis // non-traceable author statement /// 0035071 // salivary gland cell autophagic cell death // non-traceable author statement /// 0035072 // ecdysone-mediated induction of salivary gland cell autophagic cell death // non-traceable author statement /// 0035075 // response to ecdysone // inferred from mutant phenotype /// 0035193 // larval central nervous system remodeling // inferred from mutant phenotype /// 0040034 // regulation of development, heterochronic // traceable author statement /// 0048477 // oogenesis // inferred from mutant phenotype /// 0048747 // muscle fiber development // inferred from genetic interaction /// 0048808 // male genitalia morphogenesis // inferred from mutant phenotype"
141434_at,CG13887,CG13887,FBgn0035165,0006886 // intracellular protein transport // inferred from electronic annotation
141435_at,CG11911,CG11911,FBgn0031249,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
141438_at,CG5058,CG5058,FBgn0004586,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007009 // plasma membrane organization and biogenesis // inferred from mutant phenotype /// 0007399 // nervous system development // inferred from mutant phenotype /// 0007402 // ganglion mother cell fate determination // traceable author statement /// 0007419 // ventral cord development // non-traceable author statement /// 0007424 // open tracheal system development // inferred from expression pattern /// 0007424 // open tracheal system development // traceable author statement /// 0007426 // tracheal outgrowth, open tracheal system // inferred from mutant phenotype /// 0007428 // primary branching, open tracheal system // traceable author statement /// 0008360 // regulation of cell shape // inferred from mutant phenotype /// 0008362 // chitin-based embryonic cuticle biosynthetic process // inferred from mutant phenotype /// 0016044 // membrane organization and biogenesis // traceable author statement /// 0035152 // regulation of tube architecture, open tracheal system // traceable author statement /// 0035159 // regulation of tube length, open tracheal system // inferred from mutant phenotype /// 0042127 // regulation of cell proliferation // inferred from mutant phenotype"
141440_at,CG7811,b,FBgn0000153,0006212 // uracil catabolic process // traceable author statement /// 0007632 // visual behavior // inferred from mutant phenotype /// 0019483 // beta-alanine biosynthetic process // traceable author statement /// 0019752 // carboxylic acid metabolic process // inferred from electronic annotation /// 0048066 // pigmentation during development // traceable author statement
141451_at,CG12252,CG12252,FBgn0035026,---
141452_at,CG1233,CG1233,FBgn0035137,---
141454_at,CG13213,CG13213,FBgn0033609,0005975 // carbohydrate metabolic process // inferred from electronic annotation
141461_at,CG3017,Alas,FBgn0020764,0006783 // heme biosynthetic process // inferred from sequence or structural similarity /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0033014 // tetrapyrrole biosynthetic process // inferred from electronic annotation
141462_at,CG13391,Aats-ala,FBgn0027094,0006412 // translation // inferred from electronic annotation /// 0006419 // alanyl-tRNA aminoacylation // inferred from sequence or structural similarity /// 0006419 // alanyl-tRNA aminoacylation // inferred from electronic annotation /// 0043039 // tRNA aminoacylation // inferred from electronic annotation
141465_at,CG10026,CG10026,FBgn0032785,0006810 // transport // inferred from electronic annotation
141469_at,CG11706,CG11706,FBgn0029744,---
141475_at,CG11771,CG11771,FBgn0039252,0006508 // proteolysis // inferred from electronic annotation
141479_at,CG3615,Atg9,FBgn0034110,---
141484_at,CG10672,CG10672,FBgn0035588,0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
141488_at,CG5032,aft,FBgn0026309,"0007424 // open tracheal system development // inferred from expression pattern /// 0007424 // open tracheal system development // inferred from mutant phenotype /// 0007424 // open tracheal system development // traceable author statement /// 0007426 // tracheal outgrowth, open tracheal system // traceable author statement /// 0016477 // cell migration // non-traceable author statement"
141498_at,CG9653,brk,FBgn0024250,0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from mutant phenotype /// 0000122 // negative regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0007179 // transforming growth factor beta receptor signaling pathway // traceable author statement /// 0007399 // nervous system development // non-traceable author statement /// 0007432 // salivary gland boundary specification // non-traceable author statement /// 0007472 // wing disc morphogenesis // inferred from mutant phenotype /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0030510 // regulation of BMP signaling pathway // traceable author statement /// 0030512 // negative regulation of transforming growth factor beta receptor signaling pathway // inferred from mutant phenotype /// 0030512 // negative regulation of transforming growth factor beta receptor signaling pathway // non-traceable author statement /// 0035212 // cell competition in a multicellular organism // inferred from mutant phenotype
141508_at,CG11247,CG11247,FBgn0037120,---
141513_at,CG12109,Caf1-180,FBgn0030054,0006334 // nucleosome assembly // non-traceable author statement
141514_at,CG1605,az2,FBgn0025185,---
141516_at,CG5148,cal1,FBgn0038478,0007052 // mitotic spindle organization and biogenesis // inferred from mutant phenotype
141517_at,CG4426,ast,FBgn0015905,0001745 // compound eye morphogenesis // inferred from mutant phenotype /// 0001752 // compound eye photoreceptor fate commitment // inferred from genetic interaction /// 0001752 // compound eye photoreceptor fate commitment // inferred from mutant phenotype /// 0007173 // epidermal growth factor receptor signaling pathway // inferred from genetic interaction /// 0007173 // epidermal growth factor receptor signaling pathway // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0007526 // larval somatic muscle development // inferred from mutant phenotype /// 0008586 // imaginal disc-derived wing vein morphogenesis // inferred from mutant phenotype
141524_at,CG10289,CG10289,FBgn0035688,---
141540_at,CG13350,CG13350,FBgn0033890,---
141541_at,CG13868,CG13868,FBgn0034501,---
141546_at,CG1074,CG1074,FBgn0037250,0032259 // methylation // inferred from electronic annotation
141548_at,CG4276,aru,FBgn0031290,"0006412 // translation // inferred from electronic annotation /// 0006464 // protein modification process // inferred from electronic annotation /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0007173 // epidermal growth factor receptor signaling pathway // inferred from sequence or structural similarity /// 0007173 // epidermal growth factor receptor signaling pathway // non-traceable author statement /// 0009408 // response to heat // inferred from expression pattern /// 0009987 // cellular process // inferred from mutant phenotype"
141554_at,CG11414,CG11414,FBgn0035024,---
141560_at,CG6451,blue,FBgn0036404,0007317 // regulation of pole plasm oskar mRNA localization // inferred from mutant phenotype /// 0008103 // oocyte microtubule cytoskeleton polarization // inferred from mutant phenotype /// 0008104 // protein localization // inferred from mutant phenotype /// 0045451 // pole plasm oskar mRNA localization // inferred from mutant phenotype
141563_at,CG9707,Acox57D-p,FBgn0034628,0006631 // fatty acid metabolic process // inferred from electronic annotation /// 0006635 // fatty acid beta-oxidation // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
141572_at,CG10011,CG10011,FBgn0039590,---
141574_at,CG11807,CG11807,FBgn0033996,0007154 // cell communication // inferred from electronic annotation
141580_at,CG12532,Bap,FBgn0010380,0006886 // intracellular protein transport // inferred from electronic annotation /// 0006901 // vesicle coating // traceable author statement /// 0007269 // neurotransmitter secretion // non-traceable author statement /// 0015031 // protein transport // inferred from electronic annotation /// 0016183 // synaptic vesicle coating // traceable author statement /// 0016192 // vesicle-mediated transport // inferred from electronic annotation
141585_at,CG14619,CG14619,FBgn0031187,0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation /// 0016579 // protein deubiquitination // traceable author statement
141590_at,CG12213,CG12213,FBgn0037968,---
141598_at,CG10641,CG10641,FBgn0032731,0007498 // mesoderm development // inferred from expression pattern
141602_at,CG12750,CG12750,FBgn0032678,0006397 // mRNA processing // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0016070 // RNA metabolic process // inferred from electronic annotation
141603_at,CG4062,Aats-val,FBgn0033805,0006412 // translation // inferred from electronic annotation /// 0006418 // tRNA aminoacylation for protein translation // inferred from electronic annotation /// 0006438 // valyl-tRNA aminoacylation // inferred from sequence or structural similarity /// 0006438 // valyl-tRNA aminoacylation // inferred from electronic annotation
141610_at,CG7799,ca,FBgn0039701,0006727 // ommochrome biosynthetic process // inferred from mutant phenotype /// 0006856 // eye pigment precursor transport // traceable author statement /// 0008057 // eye pigment granule organization and biogenesis // inferred from mutant phenotype
141617_at,CG8340,128up,FBgn0010339,---
141618_at,CG1059,CG1059,FBgn0011341,---
141628_at,CG7057,AP-50,FBgn0024832,0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred from electronic annotation /// 0006901 // vesicle coating // traceable author statement /// 0007269 // neurotransmitter secretion // non-traceable author statement /// 0016183 // synaptic vesicle coating // traceable author statement /// 0016192 // vesicle-mediated transport // inferred from electronic annotation
141631_at,CG12788,CG12788,FBgn0031041,0006626 // protein targeting to mitochondrion // inferred from sequence or structural similarity /// 0006626 // protein targeting to mitochondrion // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0015031 // protein transport // inferred from sequence or structural similarity /// 0015031 // protein transport // non-traceable author statement /// 0015031 // protein transport // inferred from electronic annotation /// 0045039 // protein import into mitochondrial inner membrane // inferred from electronic annotation /// 0065002 // intracellular protein transport across a membrane // inferred from electronic annotation
141633_at,CG13384,CG13384,FBgn0032036,0006865 // amino acid transport // inferred from sequence or structural similarity
141640_at,CG8376,ap,FBgn0000099,"0006350 // transcription // inferred from mutant phenotype /// 0006350 // transcription // traceable author statement /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from mutant phenotype /// 0007399 // nervous system development // traceable author statement /// 0007411 // axon guidance // inferred from mutant phenotype /// 0007450 // dorsal/ventral pattern formation, imaginal disc // traceable author statement /// 0007451 // dorsal/ventral lineage restriction, imaginal disc // traceable author statement /// 0007472 // wing disc morphogenesis // non-traceable author statement /// 0007476 // imaginal disc-derived wing morphogenesis // traceable author statement /// 0007479 // leg disc proximal/distal pattern formation // inferred from mutant phenotype /// 0007481 // haltere disc morphogenesis // non-traceable author statement /// 0007517 // muscle development // inferred from mutant phenotype /// 0007517 // muscle development // traceable author statement /// 0007559 // histolysis // inferred from mutant phenotype /// 0035218 // leg disc development // inferred from mutant phenotype /// 0035286 // leg segmentation // inferred from mutant phenotype /// 0045165 // cell fate commitment // non-traceable author statement /// 0048190 // wing disc dorsal/ventral pattern formation // inferred from mutant phenotype /// 0048190 // wing disc dorsal/ventral pattern formation // traceable author statement"
141644_at,CG3696,CG3696,FBgn0001309,0006333 // chromatin assembly or disassembly // inferred from electronic annotation
141647_at,CG12016,CG12016,FBgn0035436,---
141649_at,CG7613,5PtaseI,FBgn0039263,---
141650_at,CG11526,CG11526,FBgn0035437,---
141651_at,CG10080,CG10080,FBgn0034641,---
141656_at,CG12204,CG12204,FBgn0031022,---
141665_at,CG10508,CG10508,FBgn0037060,---
141666_at,CG11844,CG11844,FBgn0039279,---
141669_at,CG14642,CG14642,FBgn0037222,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
141675_at,CG12598,Adar,FBgn0041575,0001666 // response to hypoxia // inferred from mutant phenotype /// 0001666 // response to hypoxia // traceable author statement /// 0006382 // adenosine to inosine editing // inferred from mutant phenotype /// 0006382 // adenosine to inosine editing // inferred from direct assay /// 0006396 // RNA processing // inferred from electronic annotation /// 0006397 // mRNA processing // inferred from electronic annotation /// 0006979 // response to oxidative stress // inferred from mutant phenotype /// 0007626 // locomotory behavior // inferred from mutant phenotype /// 0008344 // adult locomotory behavior // inferred from mutant phenotype /// 0009408 // response to heat // inferred from mutant phenotype /// 0016556 // mRNA modification // inferred from direct assay /// 0016556 // mRNA modification // inferred from mutant phenotype /// 0016556 // mRNA modification // traceable author statement /// 0030534 // adult behavior // inferred from mutant phenotype /// 0042391 // regulation of membrane potential // inferred from mutant phenotype
141680_at,CG10462,CG10462,FBgn0032815,---
141682_at,CG1548,cathD,FBgn0033227,0006508 // proteolysis // inferred from electronic annotation /// 0035071 // salivary gland cell autophagic cell death // inferred from expression pattern /// 0048102 // autophagic cell death // inferred from expression pattern
141684_at,CG18329,CG18329,FBgn0033660,---
141706_at,CG1371,CG1371,FBgn0033482,---
141709_i_at,CG2512,alphaTub84D,FBgn0003885,0000910 // cytokinesis // inferred from mutant phenotype /// 0007017 // microtubule-based process // inferred from sequence or structural similarity /// 0007017 // microtubule-based process // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from electronic annotation /// 0009987 // cellular process // inferred from mutant phenotype /// 0051258 // protein polymerization // inferred from electronic annotation
141710_r_at,CG2512,alphaTub84D,FBgn0003885,0000910 // cytokinesis // inferred from mutant phenotype /// 0007017 // microtubule-based process // inferred from sequence or structural similarity /// 0007017 // microtubule-based process // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from electronic annotation /// 0009987 // cellular process // inferred from mutant phenotype /// 0051258 // protein polymerization // inferred from electronic annotation
141712_at,CG1471,CDase,FBgn0039774,0006629 // lipid metabolic process // inferred from electronic annotation /// 0006665 // sphingolipid metabolic process // inferred from direct assay /// 0006665 // sphingolipid metabolic process // inferred from electronic annotation /// 0007268 // synaptic transmission // inferred from mutant phenotype /// 0016079 // synaptic vesicle exocytosis // inferred from mutant phenotype /// 0031629 // synaptic vesicle fusion to presynaptic membrane // inferred from mutant phenotype /// 0035187 // hatching behavior // inferred from mutant phenotype /// 0046514 // ceramide catabolic process // inferred from direct assay
141714_at,CG5124,adp,FBgn0034305,0005975 // carbohydrate metabolic process // traceable author statement /// 0006629 // lipid metabolic process // inferred from mutant phenotype /// 0006629 // lipid metabolic process // traceable author statement /// 0009269 // response to desiccation // inferred from mutant phenotype /// 0030730 // sequestering of triacylglycerol // non-traceable author statement
141723_at,CG12263,CG12263,FBgn0034346,0008152 // metabolic process // inferred from electronic annotation
141725_at,CG1434,CG1434,FBgn0030554,0008033 // tRNA processing // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation
141726_at,CG9556,alien,FBgn0013746,"0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0007165 // signal transduction // inferred from sequence or structural similarity /// 0007275 // multicellular organismal development // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0045892 // negative regulation of transcription, DNA-dependent // traceable author statement /// 0048477 // oogenesis // inferred from electronic annotation"
141728_at,CG14514,Brd8,FBgn0039654,---
141730_at,CG10336,CG10336,FBgn0032698,0000076 // DNA replication checkpoint // inferred from sequence or structural similarity /// 0006974 // response to DNA damage stimulus // inferred from electronic annotation /// 0007049 // cell cycle // inferred from electronic annotation /// 0007067 // mitosis // inferred from electronic annotation /// 0008284 // positive regulation of cell proliferation // inferred from sequence or structural similarity /// 0031573 // intra-S DNA damage checkpoint // inferred from sequence or structural similarity /// 0033261 // regulation of S phase // inferred from sequence or structural similarity /// 0048478 // replication fork protection // inferred from electronic annotation /// 0051301 // cell division // inferred from electronic annotation
141732_at,CG7850,CG7850,FBgn0004210,0006470 // protein amino acid dephosphorylation // inferred from electronic annotation /// 0016311 // dephosphorylation // inferred from electronic annotation
141735_at,CG7959,Bgb,FBgn0013753,0006357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from sequence or structural similarity
141739_at,CG12155,CG12155,FBgn0029957,---
141754_at,CG1283,Cdep,FBgn0037286,0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation
141768_at,CG3140,Adk2,FBgn0024906,"0006139 // nucleobase, nucleoside, nucleotide and nucleic acid metabolic process // inferred from electronic annotation /// 0006172 // ADP biosynthetic process // inferred from sequence or structural similarity"
141772_at,CG13624,CG13624,FBgn0039209,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation"
141776_at,CG12428,CG12428,FBgn0039543,---
141777_at,CG8276,bin3,FBgn0033073,0006479 // protein amino acid methylation // inferred from sequence or structural similarity /// 0008152 // metabolic process // inferred from electronic annotation /// 0032502 // developmental process // inferred from mutant phenotype /// 0042048 // olfactory behavior // inferred from mutant phenotype /// 0045449 // regulation of transcription // inferred from direct assay
141783_at,CG13327,CG13327,FBgn0033796,---
141791_at,CG4006,Akt1,FBgn0010379,"0001558 // regulation of cell growth // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from direct assay /// 0006915 // apoptosis // inferred from electronic annotation /// 0006916 // anti-apoptosis // inferred from mutant phenotype /// 0007242 // intracellular signaling cascade // inferred from genetic interaction /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007424 // open tracheal system development // inferred from mutant phenotype /// 0007424 // open tracheal system development // traceable author statement /// 0007427 // epithelial cell migration, open tracheal system // inferred from mutant phenotype /// 0008284 // positive regulation of cell proliferation // inferred from mutant phenotype /// 0008286 // insulin receptor signaling pathway // non-traceable author statement /// 0008286 // insulin receptor signaling pathway // traceable author statement /// 0008286 // insulin receptor signaling pathway // inferred from direct assay /// 0008286 // insulin receptor signaling pathway // inferred from genetic interaction /// 0008360 // regulation of cell shape // inferred from mutant phenotype /// 0008361 // regulation of cell size // non-traceable author statement /// 0008362 // chitin-based embryonic cuticle biosynthetic process // inferred from genetic interaction /// 0019915 // sequestering of lipid // inferred from genetic interaction /// 0030307 // positive regulation of cell growth // non-traceable author statement /// 0030307 // positive regulation of cell growth // traceable author statement /// 0030307 // positive regulation of cell growth // inferred from mutant phenotype /// 0040014 // regulation of multicellular organism growth // non-traceable author statement /// 0040018 // positive regulation of multicellular organism growth // traceable author statement /// 0042306 // regulation of protein import into nucleus // traceable author statement /// 0045793 // positive regulation of cell size // inferred from mutant phenotype /// 0045793 // positive regulation of cell size // non-traceable author statement /// 0045793 // positive regulation of cell size // traceable author statement /// 0046620 // regulation of organ growth // non-traceable author statement /// 0046622 // positive regulation of organ growth // non-traceable author statement /// 0046622 // positive regulation of organ growth // traceable author statement /// 0046622 // positive regulation of organ growth // inferred from mutant phenotype"
141807_at,CG10302,bsf,FBgn0032679,---
141817_at,CG12393,CG12393,FBgn0031768,---
142121_at,CG14667,CG14667,FBgn0037317,---
142122_at,CG1168,7B2,FBgn0037318,0007218 // neuropeptide signaling pathway // inferred from electronic annotation /// 0016486 // peptide hormone processing // inferred from sequence or structural similarity
142124_at,CG12857,CG12857,FBgn0033963,---
142126_at,CG10732,CG10732,FBgn0036365,---
142134_at,CG11576,CG11576,FBgn0039882,---
142137_at,CG7462,Ank2,FBgn0017645,0007016 // cytoskeletal anchoring at plasma membrane // inferred from sequence or structural similarity /// 0007016 // cytoskeletal anchoring at plasma membrane // non-traceable author statement /// 0007165 // signal transduction // inferred from electronic annotation /// 0048675 // axon extension // inferred from mutant phenotype
142144_at,CG8803,CG8803,FBgn0016970,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from mutant phenotype
142155_at,CG12111,CG12111,FBgn0030050,---
142162_at,CG8139,alpha-Man-II,FBgn0011740,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006013 // mannose metabolic process // inferred from electronic annotation /// 0006486 // protein amino acid glycosylation // inferred from sequence or structural similarity /// 0006487 // protein amino acid N-linked glycosylation // non-traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation
