Probe Set ID,CG Name,Gene Name,FBgn Number,GO
141887_at,AI513320,AI513320,GH14707.3prime-hit,---
141888_at,AW940570,AW940570,GH14903.3prime-hit,---
141890_at,AW941810,AW941810,GH15479.3prime-hit,---
141891_at,AW940609,AW940609,GH16063.3prime-hit,---
141892_at,AW941819,AW941819,GH16593.3prime-hit,---
141893_at,AW940651,AW940651,GH17175.3prime-hit,---
141894_at,AW940659,AW940659,GH17451.3prime-hit,---
141895_at,AW940663,AW940663,GH17516.3prime-hit,---
141896_at,AW940670,AW940670,GH17661.3prime-hit,---
141897_at,GH18123.3prime-hit,GH18123.3prime-hit,GH18123.3prime-hit,---
141898_at,AW940697,AW940697,GH18325.3prime-hit,---
141899_at,AW940714,AW940714,GH18819.3prime-hit,---
141900_at,AW940733,AW940733,GH19262.3prime-hit,---
141901_at,AW940768,AW940768,GH20077.3prime-hit,---
141902_at,AW940773,AW940773,GH20168.3prime-hit,---
141903_at,AW940774,AW940774,GH20208.3prime-hit,---
141904_at,GH20226.3prime-hit,GH20226.3prime-hit,GH20226.3prime-hit,---
141905_at,AW940780,AW940780,GH20378.3prime-hit,---
141906_at,AW940814,AW940814,GH21132.3prime-hit,---
141907_at,AW940827,AW940827,GH21490.3prime-hit,---
141908_at,AW940878,AW940878,GH22881.3prime-hit,---
141909_at,AW940919,AW940919,GH23708.3prime-hit,---
141910_at,AW940935,AW940935,GH23955.3prime-hit,---
141911_at,GH24095.3prime-hit,GH24095.3prime-hit,GH24095.3prime-hit,---
141913_at,AW941868,AW941868,GH25976.3prime-hit,---
141914_at,AW941895,AW941895,GH26608.3prime-hit,---
141915_at,AW941897,AW941897,GH26622.3prime-hit,---
141916_at,AW941046,AW941046,GH27237.3prime-hit,---
141917_at,AW941050,AW941050,GH27293.3prime-hit,---
141918_at,AW941058,AW941058,GH27420.3prime-hit,---
141919_at,AW941062,AW941062,GH27547.3prime-hit,---
141920_at,GH27933.3prime-hit,GH27933.3prime-hit,GH27933.3prime-hit,---
141921_at,AW941912,AW941912,GH28534.3prime-hit,---
141922_at,AW941932,AW941932,GM02310.3prime-hit,---
141924_at,AW941939,AW941939,GM03767.3prime-hit,---
141925_i_at,GM03811.3prime-hit,GM03811.3prime-hit,GM03811.3prime-hit,---
141926_at,AW941209,AW941209,GM04207.3prime-hit,---
141927_at,AW941219,AW941219,GM04427.3prime-hit,---
141928_at,AW941263,AW941263,GM06264.3prime-hit,---
141932_at,AW941360,AW941360,GM12126.3prime-hit,---
141933_at,AW941363,AW941363,GM12886.3prime-hit,---
141934_at,AI513225,AI513225,GM13193.3prime-hit,---
141935_at,AI513226,AI513226,GM13207.3prime-hit,---
141936_at,AW941392,AW941392,GM14553.3prime-hit,---
141937_at,AW941397,AW941397,GM14618.3prime-hit,---
141938_at,AW941398,AW941398,GM14667.3prime-hit,---
141939_at,AW941399,AW941399,GM14682.3prime-hit,---
141940_at,AI519022,AI519022,GM14814.3prime-hit,---
141941_at,AW941994,AW941994,HL01392.3prime-hit,---
141942_at,AI518939,AI518939,HL08062.3prime-hit,---
141943_at,AW941473,AW941473,LD01461.3prime-hit,---
141944_at,AW941489,AW941489,LD02044.3prime-hit,---
141945_at,AW942033,AW942033,LD02989.3prime-hit,---
141946_at,AW941538,AW941538,LD04004.3prime-hit,---
141947_at,AW941552,AW941552,LD04582.3prime-hit,---
141948_at,AW941561,AW941561,LD04815.3prime-hit,---
141949_at,AW941563,AW941563,LD04933.3prime-hit,---
141951_at,AW942059,AW942059,LD05703.3prime-hit,---
141952_at,AW942075,AW942075,LD09536.3prime-hit,---
141953_at,AW942090,AW942090,LD09790.3prime-hit,---
141954_at,AW942192,AW942192,LD11462.3prime-hit,---
141955_at,AW942198,AW942198,LD11664.3prime-hit,---
141956_at,AW942219,AW942219,LD12084.3prime-hit,---
141957_at,AW942237,AW942237,LD12453.3prime-hit,---
141958_at,AW942239,AW942239,LD12611.3prime-hit,---
141959_at,AW942253,AW942253,LD12946.3prime-hit,---
141960_at,AW942346,AW942346,LD15323.3prime-hit,---
141961_at,AW942347,AW942347,LD15342.3prime-hit,---
141962_at,AW942348,AW942348,LD15349.3prime-hit,---
141963_at,AW942375,AW942375,LD15705.3prime-hit,---
141964_at,AW942387,AW942387,LD15941.3prime-hit,---
141965_at,AW942402,AW942402,LD16191.3prime-hit,---
141966_at,AW942432,AW942432,LD16905.3prime-hit,---
141967_at,AW942440,AW942440,LD17077.3prime-hit,---
141968_at,AW942445,AW942445,LD17269.3prime-hit,---
141969_at,AW942498,AW942498,LD18769.3prime-hit,---
141970_at,AW942551,AW942551,LD20082.3prime-hit,---
141971_at,AW942552,AW942552,LD20087.3prime-hit,---
141972_at,AW942553,AW942553,LD20186.3prime-hit,---
141973_at,AW942566,AW942566,LD20458.3prime-hit,---
141974_at,AI455095,AI455095,LD21116.3prime-hit,---
141975_at,AI455133,AI455133,LD21354.3prime-hit,---
141976_at,LD21533.3prime-hit,LD21533.3prime-hit,LD21533.3prime-hit,---
141977_at,AI455199,AI455199,LD21719.3prime-hit,---
141978_i_at,AI455204,AI455204,LD21735.3prime-hit,---
141979_r_at,AI455204,AI455204,LD21735.3prime-hit,---
141980_at,AI455209,AI455209,LD21768.3prime-hit,---
141981_at,AW942620,AW942620,LD21931.3prime-hit,---
141982_at,AW942621,AW942621,LD21941.3prime-hit,---
141983_at,AI455232,AI455232,LD22034.3prime-hit,---
141984_at,AI455234,AI455234,LD22082.3prime-hit,---
141985_at,AI455235,AI455235,LD22087.3prime-hit,---
141986_at,AW942624,AW942624,LD22131.3prime-hit,---
141987_at,AI455240,AI455240,LD22201.3prime-hit,---
141988_at,AW944676,AW944676,LD22509.3prime-hit,---
141989_at,AI455275,AI455275,LD22520.3prime-hit,---
141990_at,AI455283,AI455283,LD22577.3prime-hit,---
141991_at,AI455293,AI455293,LD22701.3prime-hit,---
141992_at,AI455340,AI455340,LD23595.3prime-hit,---
141993_at,AW942682,AW942682,LD23644.3prime-hit,---
141994_at,AI455364,AI455364,LD23744.3prime-hit,---
141995_at,AI455382,AI455382,LD23830.3prime-hit,---
141996_at,AI455408,AI455408,LD23959.3prime-hit,---
141997_at,AI455410,AI455410,LD23968.3prime-hit,---
141998_at,AI455428,AI455428,LD24134.3prime-hit,---
141999_at,AI455430,AI455430,LD24159.3prime-hit,---
142000_at,AI455440,AI455440,LD24242.3prime-hit,---
142002_at,AI455454,AI455454,LD24347.3prime-hit,---
142003_at,AI455487,AI455487,LD24482.3prime-hit,---
142004_at,AI455522,AI455522,LD24696.3prime-hit,---
142005_at,AI455523,AI455523,LD24702.3prime-hit,---
142006_at,AW942713,AW942713,LD24837.3prime-hit,---
142007_at,AI455546,AI455546,LD24841.3prime-hit,---
142008_at,AI455558,AI455558,LD24904.3prime-hit,---
142009_at,AW942715,AW942715,LD25013.3prime-hit,0006367 // transcription initiation from RNA polymerase II promoter // inferred from sequence or structural similarity /// 0007126 // meiosis // traceable author statement /// 0007141 // male meiosis I // inferred from mutant phenotype /// 0007283 // spermatogenesis // inferred from mutant phenotype /// 0007286 // spermatid development // traceable author statement /// 0051090 // regulation of transcription factor activity // inferred from electronic annotation
142010_at,AW942733,AW942733,LD25466.3prime-hit,---
142011_at,AW942838,AW942838,LD26327.3prime-hit,---
142012_at,AW942842,AW942842,LD26422.3prime-hit,---
142013_at,AW942863,AW942863,LD26976.3prime-hit,---
142014_at,LD27042.3prime-hit,LD27042.3prime-hit,LD27042.3prime-hit,---
142015_at,AW942744,AW942744,LD27203.3prime-hit,---
142016_at,AW942773,AW942773,LD27718.3prime-hit,---
142017_at,AW942799,AW942799,LD28117.3prime-hit,---
142018_at,AW942878,AW942878,LD28173.3prime-hit,---
142020_at,AW942889,AW942889,LD28428.3prime-hit,---
142021_at,AW942911,AW942911,LD28822.3prime-hit,---
142022_at,AW942931,AW942931,LD29083.3prime-hit,---
142023_at,AW942937,AW942937,LD29166.3prime-hit,---
142025_at,AW943003,AW943003,LD29979.3prime-hit,---
142026_at,AW943007,AW943007,LD30049.3prime-hit,---
142027_at,AW943027,AW943027,LD30439.3prime-hit,---
142028_at,AW943030,AW943030,LD30467.3prime-hit,---
142029_at,AW943038,AW943038,LD30573.3prime-hit,---
142030_at,AW943047,AW943047,LD30731.3prime-hit,---
142031_at,AW943078,AW943078,LD31286.3prime-hit,---
142032_at,AW943109,AW943109,LD31990.3prime-hit,---
142033_at,AW943120,AW943120,LD32106.3prime-hit,---
142034_at,AW943130,AW943130,LD32354.3prime-hit,---
142035_at,AW943136,AW943136,LD32469.3prime-hit,---
142036_at,AW943148,AW943148,LD32755.3prime-hit,---
142037_at,AW943184,AW943184,LD33386.3prime-hit,---
142038_at,AW943201,AW943201,LD33778.3prime-hit,---
142040_at,AW943208,AW943208,LD33980.3prime-hit,---
142041_at,AW943219,AW943219,LD34192.3prime-hit,---
142042_at,AW943236,AW943236,LD34464.3prime-hit,---
142044_at,AW943318,AW943318,LD36052.3prime-hit,---
142045_at,AW943323,AW943323,LD36125.3prime-hit,---
142046_at,AW943325,AW943325,LD36161.3prime-hit,---
142047_at,AW943326,AW943326,LD36162.3prime-hit,---
142048_at,LD36304.3prime-hit,LD36304.3prime-hit,LD36304.3prime-hit,---
142049_at,AW943336,AW943336,LD36356.3prime-hit,---
142050_at,AW943348,AW943348,LD36566.3prime-hit,---
142051_at,AW943367,AW943367,LD37137.3prime-hit,---
142052_at,AW943394,AW943394,LD37736.3prime-hit,---
142053_at,AW943400,AW943400,LD37921.3prime-hit,---
142054_at,AW943413,AW943413,LD38226.3prime-hit,---
142055_at,AW943421,AW943421,LD38389.3prime-hit,---
142056_at,AW943460,AW943460,LD39243.3prime-hit,---
142057_at,AW943484,AW943484,LD39904.3prime-hit,---
142058_at,AW943519,AW943519,LD40495.3prime-hit,---
142059_at,AW943525,AW943525,LD40692.3prime-hit,---
142060_at,AW943552,AW943552,LD41216.3prime-hit,---
142061_at,AW943554,AW943554,LD41227.3prime-hit,---
142062_at,AW943561,AW943561,LD41421.3prime-hit,---
142063_at,LD41494.3prime-hit,LD41494.3prime-hit,LD41494.3prime-hit,---
142064_at,AW943568,AW943568,LD41588.3prime-hit,---
142065_at,LD41866.3prime-hit,LD41866.3prime-hit,LD41866.3prime-hit,---
142066_at,AW943611,AW943611,LD42301.3prime-hit,---
142067_at,AW943644,AW943644,LD43152.3prime-hit,---
142068_at,AW943653,AW943653,LD43280.3prime-hit,---
142069_at,AW943654,AW943654,LD43293.3prime-hit,---
142070_at,AW943659,AW943659,LD43457.3prime-hit,---
142071_at,AW943676,AW943676,LD43688.3prime-hit,---
142074_at,AW943691,AW943691,LD44026.3prime-hit,---
142075_at,AW943697,AW943697,LD44124.3prime-hit,---
142076_at,AW943728,AW943728,LD44515.3prime-hit,---
142077_at,LD44641.3prime-hit,LD44641.3prime-hit,LD44641.3prime-hit,---
142078_at,AW943753,AW943753,LD44970.3prime-hit,---
142079_at,AW943812,AW943812,LD45906.3prime-hit,---
142080_at,AW943813,AW943813,LD45918.3prime-hit,---
142081_at,LD45949.3prime-hit,LD45949.3prime-hit,LD45949.3prime-hit,---
142082_at,AW943830,AW943830,LD46272.3prime-hit,---
142083_at,AW943839,AW943839,LD46359.3prime-hit,---
142084_at,AW943844,AW943844,LD46437.3prime-hit,---
142085_at,AW943869,AW943869,LD46805.3prime-hit,---
142087_at,AW943961,AW943961,LP01044.3prime-hit,---
142088_at,AW944051,AW944051,LP05693.3prime-hit,---
142089_at,AW944052,AW944052,LP05733.3prime-hit,---
142091_at,AW944061,AW944061,LP06072.3prime-hit,---
142092_at,AW944073,AW944073,LP07235.3prime-hit,---
142093_at,AW944077,AW944077,LP07342.3prime-hit,---
142094_at,AW944096,AW944096,LP08544.3prime-hit,---
142095_at,AW944169,AW944169,SD01232.3prime-hit,---
142096_at,AW944193,AW944193,SD01621.3prime-hit,---
142097_at,AW944196,AW944196,SD01662.3prime-hit,---
142098_at,AW944231,AW944231,SD02309.3prime-hit,---
142100_at,AW944284,AW944284,SD03094.3prime-hit,---
142101_at,AW944321,AW944321,SD03652.3prime-hit,---
142103_at,AW944460,AW944460,SD06560.3prime-hit,---
142104_at,AW944461,AW944461,SD06579.3prime-hit,---
142105_at,AW944466,AW944466,SD06635.3prime-hit,---
142106_at,AW944479,AW944479,SD07027.3prime-hit,---
142107_at,AW944484,AW944484,SD07148.3prime-hit,---
142108_at,AW944486,AW944486,SD07188.3prime-hit,---
142109_at,AW944542,AW944542,SD08058.3prime-hit,---
142110_at,AW944553,AW944553,SD08238.3prime-hit,---
142111_at,AW944554,AW944554,SD08263.3prime-hit,---
142112_at,SD08776.3prime-hit,SD08776.3prime-hit,SD08776.3prime-hit,---
142113_at,AW944575,AW944575,SD08921.3prime-hit,---
142114_at,AW944601,AW944601,SD09607.3prime-hit,---
142115_at,AW944619,AW944619,SD10060.3prime-hit,---
142116_at,AW944636,AW944636,SD10416.3prime-hit,---
142118_at,AW942874,AW942874,LD27111.3prime-hit,---
142119_at,AW943831,AW943831,LD46284.3prime-hit,---
142120_at,AW944266,AW944266,SD02875.3prime-hit,---
142144_at,CG8803,CG8803,FBgn0016970,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from mutant phenotype
142173_s_at,CG16804,CG16804,FBgn0033758,0008152 // metabolic process // inferred from electronic annotation /// 0008299 // isoprenoid biosynthetic process // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from sequence or structural similarity /// 0016310 // phosphorylation // inferred from electronic annotation
142200_at,CG13878,CG13878,FBgn0035115,---
142216_at,CG2829,CG2829,FBgn0028489,0006468 // protein amino acid phosphorylation // inferred from electronic annotation
142301_s_at,CG11711,CG11711,FBgn0036172,0000902 // cell morphogenesis // inferred from mutant phenotype /// 0007611 // learning or memory // inferred from mutant phenotype /// 0008355 // olfactory learning // inferred from mutant phenotype
142322_at,CG18469,CG18469,FBgn0034206,---
142356_at,CG11064,CG11064,FBgn0016724,0006810 // transport // inferred from electronic annotation /// 0006836 // neurotransmitter transport // inferred from electronic annotation /// 0006869 // lipid transport // inferred from electronic annotation /// 0007224 // smoothened signaling pathway // inferred from mutant phenotype /// 0016055 // Wnt receptor signaling pathway // inferred from electronic annotation /// 0016055 // Wnt receptor signaling pathway // inferred from mutant phenotype
142396_at,CG14433,CG14433,FBgn0029918,---
142398_at,CG13200,CG13200,FBgn0033630,---
142438_at,CG13899,CG13899,FBgn0040690,---
142451_at,CG8037,CG8037,FBgn0036914,---
142452_at,CG16901,CG16901,FBgn0040556,---
142465_at,CG18242,CG18242,FBgn0035301,0007049 // cell cycle // inferred from electronic annotation /// 0007062 // sister chromatid cohesion // inferred from mutant phenotype /// 0007067 // mitosis // inferred from electronic annotation /// 0007076 // mitotic chromosome condensation // inferred from mutant phenotype /// 0007519 // skeletal muscle development // inferred from mutant phenotype /// 0007520 // myoblast fusion // inferred from mutant phenotype /// 0016203 // muscle attachment // inferred from mutant phenotype /// 0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation /// 0040011 // locomotion // inferred from mutant phenotype /// 0045214 // sarcomere organization // inferred from mutant phenotype /// 0051301 // cell division // inferred from electronic annotation
142471_r_at,CG5817,CG5817,FBgn0028842,0006260 // DNA replication // inferred from electronic annotation /// 0006275 // regulation of DNA replication // non-traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007304 // chorion-containing eggshell formation // inferred from mutant phenotype /// 0007306 // eggshell chorion formation // non-traceable author statement /// 0007307 // eggshell chorion gene amplification // inferred from mutant phenotype
142476_at,CG7783,CG7783,FBgn0037103,---
142496_at,CG15763,CG15763,FBgn0040869,---
142517_at,CG1225,CG1225,FBgn0035128,0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation
142588_at,CG8582,CG8582,FBgn0035772,---
142665_at,CG3429,CG3429,FBgn0003655,---
142789_at,CG7555,CG7555,FBgn0036736,0006464 // protein modification process // inferred from electronic annotation /// 0007219 // Notch signaling pathway // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0016199 // axon midline choice point recognition // inferred from mutant phenotype /// 0016567 // protein ubiquitination // inferred from mutant phenotype /// 0031623 // receptor internalization // inferred from mutant phenotype /// 0031623 // receptor internalization // inferred from physical interaction /// 0045746 // negative regulation of Notch signaling pathway // inferred from genetic interaction /// 0045746 // negative regulation of Notch signaling pathway // inferred from mutant phenotype
142826_at,CG7826,CG7826,FBgn0002777,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation
142828_at,CG15039,CG15039,FBgn0030957,---
142858_at,CG3733,CG3733,FBgn0016132,0006333 // chromatin assembly or disassembly // inferred from electronic annotation
142888_at,CG10416,CG10416,FBgn0033024,---
142949_at,CG15921,CG15921,FBgn0038800,---
142991_at,CG13440,CG13440,FBgn0034531,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007591 // molting cycle, chitin-based cuticle // inferred from mutant phenotype /// 0035075 // response to ecdysone // inferred from mutant phenotype"
143028_at,CG15821,CG15821,FBgn0035311,---
143032_at,CG14272,CG14272,FBgn0040957,---
143051_at,CG4807,CG4807,FBgn0000011,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // non-traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007423 // sensory organ development // inferred from mutant phenotype /// 0007517 // muscle development // inferred from mutant phenotype /// 0008039 // synaptic target recognition // inferred from mutant phenotype /// 0016198 // axon choice point recognition // traceable author statement /// 0016203 // muscle attachment // inferred from mutant phenotype /// 0048666 // neuron development // inferred from mutant phenotype /// 0048813 // dendrite morphogenesis // inferred from mutant phenotype"
143063_at,CG3484,CG3484,FBgn0000056,0006066 // cellular alcohol metabolic process // inferred from electronic annotation /// 0006069 // ethanol oxidation // non-traceable author statement /// 0006614 // SRP-dependent cotranslational protein targeting to membrane // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0007600 // sensory perception // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0046164 // alcohol catabolic process // inferred from mutant phenotype /// 0048149 // behavioral response to ethanol // inferred from mutant phenotype /// 0055114 // oxidation reduction // inferred from electronic annotation
143067_at,CG11937,CG11937,FBgn0000076,0006810 // transport // inferred from electronic annotation /// 0006836 // neurotransmitter transport // inferred from electronic annotation /// 0007218 // neuropeptide signaling pathway // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007399 // nervous system development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation
143070_at,CG3354,CG3354,FBgn0000093,---
143119_at,CG17967,CG17967,FBgn0000425,---
143159_at,CG10917,CG10917,FBgn0000658,---
143176_at,CG7268,CG7268,FBgn0001099,0007283 // spermatogenesis // non-traceable author statement /// 0048477 // oogenesis // non-traceable author statement
143263_at,CG17927,CG17927,FBgn0002741,0006941 // striated muscle contraction // inferred from electronic annotation /// 0006941 // striated muscle contraction // traceable author statement
143278_at,CG10890,CG10890,FBgn0002887,0006281 // DNA repair // inferred from electronic annotation /// 0006284 // base-excision repair // inferred from sequence or structural similarity /// 0006289 // nucleotide-excision repair // inferred from electronic annotation /// 0006289 // nucleotide-excision repair // non-traceable author statement /// 0042766 // nucleosome mobilization // inferred from direct assay
143301_at,CG3127,CG3127,FBgn0003075,0006096 // glycolysis // inferred from electronic annotation /// 0016310 // phosphorylation // inferred from sequence or structural similarity
143314_at,CG4904,CG4904,FBgn0003151,0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation
143361_at,CG5870,CG5870,FBgn0003471,0051016 // barbed-end actin filament capping // inferred from electronic annotation
143364_at,CG17791,CG17791,FBgn0003498,---
