PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1622920_at,CG7875,trp,FBgn0003861,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006816 // calcium ion transport // inferred from sequence or structural similarity /// 0006816 // calcium ion transport // inferred from electronic annotation /// 0006816 // calcium ion transport // inferred from mutant phenotype /// 0007601 // visual perception // inferred from electronic annotation /// 0007602 // phototransduction // non-traceable author statement /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0008104 // protein localization // inferred from mutant phenotype /// 0008355 // olfactory learning // inferred from mutant phenotype /// 0008377 // light-induced release of internally sequestered calcium ion // inferred from direct assay /// 0009416 // response to light stimulus // inferred from mutant phenotype /// 0009416 // response to light stimulus // traceable author statement /// 0019722 // calcium-mediated signaling // traceable author statement /// 0030845 // inhibition of phospholipase C activity // inferred from mutant phenotype /// 0050896 // response to stimulus // inferred from electronic annotation /// 0050908 // detection of light stimulus involved in visual perception // inferred from mutant phenotype /// 0050962 // detection of light stimulus involved in sensory perception // inferred from mutant phenotype
1622921_at,CG32022,CG32022,FBgn0052022,---
1622922_at,CG34139,CG34139,FBgn0083975,---
1622923_at,CG10382,wrapper,FBgn0025878,0007399 // nervous system development // inferred from expression pattern /// 0007409 // axonogenesis // inferred from mutant phenotype /// 0042063 // gliogenesis // inferred from mutant phenotype
1622924_at,CG18540,CG18540,FBgn0034326,---
1622925_at,CG15319,nej,FBgn0015624,"0001745 // compound eye morphogenesis // inferred from mutant phenotype /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007088 // regulation of mitosis // inferred from genetic interaction /// 0007088 // regulation of mitosis // inferred from mutant phenotype /// 0007224 // smoothened signaling pathway // non-traceable author statement /// 0007269 // neurotransmitter secretion // inferred from mutant phenotype /// 0007416 // synaptogenesis // inferred from mutant phenotype /// 0007464 // R3/R4 cell fate commitment // inferred from mutant phenotype /// 0016055 // Wnt receptor signaling pathway // non-traceable author statement /// 0030097 // hemopoiesis // traceable author statement /// 0032922 // circadian regulation of gene expression // inferred from mutant phenotype /// 0045449 // regulation of transcription // inferred from electronic annotation /// 0045466 // R7 cell differentiation // inferred from mutant phenotype /// 0045475 // locomotor rhythm // inferred from mutant phenotype"
1622926_at,CG5776,CG5776,FBgn0032450,---
1622927_at,CG8642,CG8642,FBgn0033312,0007165 // signal transduction // inferred from electronic annotation
1622928_at,CG7940,Arp5,FBgn0038576,"0006338 // chromatin remodeling // inferred from mutant phenotype /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007010 // cytoskeleton organization // inferred from sequence or structural similarity /// 0045449 // regulation of transcription // inferred from mutant phenotype"
1622929_at,CG31222,CG31222,FBgn0051222,---
1622930_a_at,CG1957,CG1957,FBgn0027873,0006378 // mRNA polyadenylation // inferred from sequence or structural similarity /// 0006378 // mRNA polyadenylation // non-traceable author statement /// 0006379 // mRNA cleavage // inferred from sequence or structural similarity /// 0006379 // mRNA cleavage // non-traceable author statement /// 0006397 // mRNA processing // inferred from electronic annotation
1622931_at,CG5146,CG5146,FBgn0035617,---
1622932_s_at,CG32858,sn,FBgn0003447,0007015 // actin filament organization // traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0008407 // bristle morphogenesis // inferred from mutant phenotype /// 0008407 // bristle morphogenesis // non-traceable author statement /// 0009913 // epidermal cell differentiation // inferred from mutant phenotype /// 0030154 // cell differentiation // inferred from electronic annotation /// 0035017 // cuticle pattern formation // inferred from mutant phenotype /// 0035317 // imaginal disc-derived wing hair organization // inferred from mutant phenotype /// 0048477 // oogenesis // non-traceable author statement /// 0048477 // oogenesis // traceable author statement /// 0048477 // oogenesis // inferred from electronic annotation /// 0048800 // antennal morphogenesis // inferred from mutant phenotype /// 0048812 // neurite morphogenesis // inferred from mutant phenotype /// 0051017 // actin filament bundle formation // inferred from mutant phenotype /// 0051017 // actin filament bundle formation // non-traceable author statement
1622933_at,CG10344,CG10344,FBgn0034729,---
1622934_at,CG17170,su(f),FBgn0003559,0006379 // mRNA cleavage // inferred from sequence or structural similarity /// 0006396 // RNA processing // inferred from electronic annotation /// 0006397 // mRNA processing // inferred from electronic annotation /// 0016070 // RNA metabolic process // non-traceable author statement
1622935_at,CG12828,CG12828,FBgn0033145,---
1622936_at,HDC20601,---,---,---
1622937_at,CG13698,CG13698,FBgn0036773,---
1622938_at,CG17506,CG17506,,---
1622939_at,CG13387,emb,FBgn0020497,"0000059 // protein import into nucleus, docking // inferred from electronic annotation /// 0006611 // protein export from nucleus // inferred from mutant phenotype /// 0006611 // protein export from nucleus // inferred from sequence or structural similarity /// 0006611 // protein export from nucleus // non-traceable author statement /// 0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from direct assay /// 0015031 // protein transport // inferred from direct assay /// 0015031 // protein transport // inferred from electronic annotation /// 0051028 // mRNA transport // inferred from electronic annotation /// 0051168 // nuclear export // inferred from direct assay /// 0065002 // intracellular protein transmembrane transport // inferred from electronic annotation"
1622940_at,CG12698,CG12698,FBgn0030721,---
1622941_at,CG17765,CG17765,FBgn0033529,---
1622942_at,CG31959,CG31959,FBgn0051959,---
1622943_s_at,CG2371,CG2371,FBgn0030323,---
1622944_at,CG8735,CG8735,FBgn0033309,---
1622945_a_at,CG12141,Aats-lys,FBgn0027084,0006412 // translation // inferred from electronic annotation /// 0006418 // tRNA aminoacylation for protein translation // inferred from electronic annotation /// 0006430 // lysyl-tRNA aminoacylation // inferred from sequence or structural similarity /// 0006430 // lysyl-tRNA aminoacylation // non-traceable author statement /// 0006430 // lysyl-tRNA aminoacylation // inferred from electronic annotation
1622946_at,CG6908,CG6908,FBgn0037936,---
1622947_s_at,CG6647,porin,FBgn0004363,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from direct assay /// 0006811 // ion transport // inferred from electronic annotation /// 0006820 // anion transport // inferred from electronic annotation /// 0006839 // mitochondrial transport // inferred from sequence or structural similarity
1622948_at,CG17721,CG17721,FBgn0037885,---
1622949_at,CG12212,peb,FBgn0003053,"0007362 // terminal region determination // inferred from genetic interaction /// 0007390 // germ-band shortening // inferred from mutant phenotype /// 0007390 // germ-band shortening // traceable author statement /// 0007391 // dorsal closure // inferred from mutant phenotype /// 0007391 // dorsal closure // traceable author statement /// 0007393 // dorsal closure, leading edge cell fate determination // non-traceable author statement /// 0007398 // ectoderm development // traceable author statement /// 0007424 // open tracheal system development // inferred from expression pattern /// 0008258 // head involution // non-traceable author statement /// 0008293 // torso signaling pathway // inferred from genetic interaction /// 0008594 // photoreceptor cell morphogenesis // inferred from mutant phenotype /// 0016318 // ommatidial rotation // inferred from mutant phenotype /// 0035152 // regulation of tube architecture, open tracheal system // traceable author statement /// 0035160 // maintenance of epithelial integrity, open tracheal system // inferred from mutant phenotype /// 0042067 // establishment of ommatidial polarity // inferred from mutant phenotype /// 0045449 // regulation of transcription // inferred from sequence or structural similarity /// 0045449 // regulation of transcription // non-traceable author statement /// 0046329 // negative regulation of JNK cascade // inferred from genetic interaction /// 0046665 // amnioserosa maintenance // inferred from mutant phenotype /// 0046665 // amnioserosa maintenance // traceable author statement /// 0048190 // wing disc dorsal/ventral pattern formation // inferred from genetic interaction /// 0048749 // compound eye development // inferred from mutant phenotype"
1622950_a_at,CG10069,CG10069,FBgn0034611,0006810 // transport // inferred from electronic annotation
1622951_at,S.C3L002005,---,---,---
1622952_at,CG10332,CG10332,FBgn0034881,0006952 // defense response // inferred from direct assay /// 0006955 // immune response // inferred from electronic annotation /// 0045087 // innate immune response // inferred from electronic annotation
1622953_at,Dm.X.52900.0,---,---,---
1622954_at,HDC14228,---,---,---
1622955_at,Dm.3L.24197.0,---,---,---
1622956_at,CG31542,CG31542,FBgn0051542,---
1622957_s_at,CG8364,Rep3,FBgn0028407,0006915 // apoptosis // inferred from electronic annotation
1622958_at,CG30288,CG30288,FBgn0050288,0006508 // proteolysis // inferred from electronic annotation
1622959_at,CG12928,CG12928,FBgn0033432,---
1622960_at,CG14902,decay,FBgn0028381,0006508 // proteolysis // inferred from electronic annotation /// 0006915 // apoptosis // inferred from mutant phenotype /// 0006915 // apoptosis // non-traceable author statement /// 0006915 // apoptosis // inferred from electronic annotation /// 0008632 // apoptotic program // inferred from sequence or structural similarity /// 0012501 // programmed cell death // traceable author statement
1622961_at,CG40162,CG40162,FBgn0058162,---
1622962_a_at,CG17221,CG17221,FBgn0031500,0008152 // metabolic process // inferred from electronic annotation /// 0016319 // mushroom body development // inferred from mutant phenotype /// 0055114 // oxidation reduction // inferred from electronic annotation
1622963_at,HDC02721,---,---,---
1622964_at,CG34345,CG34345,FBgn0085374,0018401 // peptidyl-proline hydroxylation to 4-hydroxy-L-proline // inferred from sequence or structural similarity /// 0019538 // protein metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1622965_s_at,HDC06796,---,---,---
1622966_at,CG15527,RpS28a,FBgn0039739,0006412 // translation // inferred from electronic annotation
1622967_at,S.C3L002813,---,---,---
1622968_at,CG1422,p115,FBgn0040087,0006886 // intracellular protein transport // inferred from electronic annotation /// 0006904 // vesicle docking during exocytosis // inferred from sequence or structural similarity /// 0007030 // Golgi organization // inferred from mutant phenotype /// 0048280 // vesicle fusion with Golgi apparatus // inferred from electronic annotation
1622969_at,CG30484,CG30484,FBgn0050484,---
1622970_at,CG32384,form3,FBgn0053556,"0007424 // open tracheal system development // non-traceable author statement /// 0016043 // cellular component organization // inferred from electronic annotation /// 0030036 // actin cytoskeleton organization // inferred from electronic annotation /// 0035147 // branch fusion, open tracheal system // inferred from mutant phenotype"
1622971_at,CG15087,CG15087,FBgn0034380,---
1622972_at,HDC01530,---,---,---
1622973_at,CG8031,CG8031,FBgn0038110,---
1622974_at,CG4000,CG4000,FBgn0038820,---
1622975_at,CG13477,CG13477,FBgn0036438,---
1622976_at,CG32491,mod(mdg4),FBgn0002781,"0001672 // regulation of chromatin assembly or disassembly // inferred from mutant phenotype /// 0006325 // establishment or maintenance of chromatin architecture // non-traceable author statement /// 0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006412 // translation // inferred from electronic annotation /// 0006915 // apoptosis // inferred from electronic annotation /// 0006917 // induction of apoptosis // inferred from mutant phenotype /// 0006917 // induction of apoptosis // traceable author statement /// 0006997 // nucleus organization // traceable author statement /// 0007060 // male meiosis chromosome segregation // inferred from mutant phenotype /// 0007141 // male meiosis I // inferred from mutant phenotype /// 0008354 // germ cell migration // inferred from genetic interaction /// 0008354 // germ cell migration // inferred from mutant phenotype /// 0016568 // chromatin modification // inferred from electronic annotation /// 0042981 // regulation of apoptosis // inferred from mutant phenotype /// 0048477 // oogenesis // inferred from mutant phenotype"
1622977_at,CG14635,CG14635,FBgn0029535,---
1622978_at,CG6434,CG6434,FBgn0036972,---
1622979_a_at,CG7188,CG7188,FBgn0035871,0006915 // apoptosis // inferred from electronic annotation /// 0043066 // negative regulation of apoptosis // inferred from sequence or structural similarity /// 0043066 // negative regulation of apoptosis // inferred from electronic annotation
1622980_at,CG5519,Gbp,FBgn0013969,0016567 // protein ubiquitination // inferred from electronic annotation
1622981_at,CG4380,usp,FBgn0003964,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007298 // border follicle cell migration // inferred from mutant phenotype /// 0007517 // muscle development // inferred from mutant phenotype /// 0007552 // metamorphosis // non-traceable author statement /// 0016322 // neuron remodeling // inferred from mutant phenotype /// 0035072 // ecdysone-mediated induction of salivary gland cell autophagic cell death // non-traceable author statement /// 0040034 // regulation of development, heterochronic // traceable author statement /// 0045596 // negative regulation of cell differentiation // traceable author statement /// 0045892 // negative regulation of transcription, DNA-dependent // traceable author statement /// 0045941 // positive regulation of transcription // traceable author statement /// 0048666 // neuron development // inferred from mutant phenotype /// 0048813 // dendrite morphogenesis // inferred from mutant phenotype /// 0048813 // dendrite morphogenesis // non-traceable author statement"
1622982_at,CG7393,p38b,FBgn0024846,0000165 // MAPKKK cascade // inferred from direct assay /// 0000165 // MAPKKK cascade // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006950 // response to stress // inferred from direct assay /// 0006952 // defense response // non-traceable author statement /// 0006955 // immune response // inferred from mutant phenotype /// 0007179 // transforming growth factor beta receptor signaling pathway // inferred from genetic interaction /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from direct assay /// 0009651 // response to salt stress // inferred from genetic interaction /// 0030510 // regulation of BMP signaling pathway // inferred from direct assay /// 0045088 // regulation of innate immune response // inferred from direct assay
1622983_a_at,CG4579,Nup154,FBgn0021761,0006913 // nucleocytoplasmic transport // inferred from electronic annotation
1622984_at,CG8905,Sod2,FBgn0010213,0006801 // superoxide metabolic process // non-traceable author statement /// 0006801 // superoxide metabolic process // inferred from electronic annotation /// 0008340 // determination of adult life span // inferred from mutant phenotype /// 0008340 // determination of adult life span // traceable author statement /// 0019430 // removal of superoxide radicals // inferred from sequence or structural similarity /// 0055114 // oxidation reduction // inferred from electronic annotation
1622985_at,CG14325,CG14325,FBgn0038531,0019752 // carboxylic acid metabolic process // inferred from electronic annotation
1622986_at,HDC12978,---,---,---
1622987_at,CG15325,CG15325,FBgn0029968,---
1622988_at,S.C2L000989,---,---,---
1622989_at,CG5611,CG5611,FBgn0039531,0008152 // metabolic process // inferred from electronic annotation
1622990_at,CG5381,CG5381,FBgn0032218,---
1622991_s_at,CG14396,Ret,FBgn0011829,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // inferred from sequence or structural similarity /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0007156 // homophilic cell adhesion // inferred from electronic annotation /// 0007165 // signal transduction // inferred from sequence or structural similarity
1622992_at,CG4965,twe,FBgn0002673,0000087 // M phase of mitotic cell cycle // inferred from electronic annotation /// 0006470 // protein amino acid dephosphorylation // inferred from electronic annotation /// 0006470 // protein amino acid dephosphorylation // inferred from sequence or structural similarity /// 0006470 // protein amino acid dephosphorylation // non-traceable author statement /// 0007049 // cell cycle // inferred from electronic annotation /// 0007053 // spindle assembly involved in male meiosis // inferred from mutant phenotype /// 0007056 // spindle assembly involved in female meiosis // inferred from mutant phenotype /// 0007126 // meiosis // inferred from electronic annotation /// 0007140 // male meiosis // inferred from mutant phenotype /// 0007279 // pole cell formation // inferred from mutant phenotype /// 0007283 // spermatogenesis // inferred from mutant phenotype /// 0007283 // spermatogenesis // traceable author statement /// 0007348 // regulation of syncytial blastoderm mitotic cell cycle // inferred from mutant phenotype /// 0007349 // cellularization // inferred from mutant phenotype /// 0008315 // meiotic G2/MI transition // non-traceable author statement /// 0008315 // meiotic G2/MI transition // traceable author statement /// 0009790 // embryonic development // inferred from mutant phenotype /// 0051301 // cell division // inferred from electronic annotation
1622993_at,HDC07791,---,---,---
1622994_at,HDC09483,---,---,---
1622995_at,CG4326,mRpS17,FBgn0034986,0006412 // translation // inferred from sequence or structural similarity /// 0006810 // transport // inferred from electronic annotation
1622996_at,CG8085,RN-tre,FBgn0020620,0032313 // regulation of Rab GTPase activity // inferred from electronic annotation
1622997_at,CG34367,CG34367,FBgn0085396,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation"
1622998_a_at,CG15812,pfk,FBgn0035405,0006338 // chromatin remodeling // non-traceable author statement
1622999_at,CG1403,septin1,FBgn0011710,0000910 // cytokinesis // inferred from sequence or structural similarity /// 0000910 // cytokinesis // non-traceable author statement /// 0007049 // cell cycle // inferred from electronic annotation /// 0007349 // cellularization // traceable author statement /// 0043065 // positive regulation of apoptosis // inferred from direct assay /// 0051301 // cell division // inferred from electronic annotation
1623000_at,CG33093,CG33093,FBgn0053093,---
1623001_at,CG31723,CG31723,FBgn0051723,---
1623002_at,CG31404,CG31404,FBgn0051404,---
1623003_at,Dm.3L.29616.0,---,---,---
1623004_a_at,CG18449,CG18449,FBgn0033285,---
1623005_at,S.C3R001125,---,---,---
1623006_at,CG4545,SerT,FBgn0010414,"0006810 // transport // inferred from electronic annotation /// 0006836 // neurotransmitter transport // inferred from sequence or structural similarity /// 0006836 // neurotransmitter transport // inferred from electronic annotation /// 0006837 // serotonin transport // inferred from direct assay /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0007632 // visual behavior // inferred from mutant phenotype /// 0015844 // monoamine transport // inferred from direct assay /// 0051610 // serotonin uptake // inferred from direct assay"
1623007_a_at,CG11940,jog,FBgn0031079,0007165 // signal transduction // inferred from electronic annotation
1623008_at,CG5565,CG5565,FBgn0031335,0008152 // metabolic process // inferred from electronic annotation
1623009_at,CG4886,cyp33,FBgn0028382,"0006457 // protein folding // non-traceable author statement /// 0006457 // protein folding // inferred from electronic annotation /// 0006911 // phagocytosis, engulfment // inferred from mutant phenotype"
1623010_at,CG13106,Or30a,FBgn0032096,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // non-traceable author statement /// 0007608 // sensory perception of smell // inferred from sequence or structural similarity /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0007608 // sensory perception of smell // non-traceable author statement /// 0050896 // response to stimulus // inferred from electronic annotation /// 0050911 // detection of chemical stimulus involved in sensory perception of smell // inferred from mutant phenotype
1623011_at,CG34372,CG34372,FBgn0085401,---
1623012_at,CG14283,mRpL55,FBgn0038678,0006412 // translation // inferred from sequence or structural similarity /// 0007275 // multicellular organismal development // inferred from electronic annotation
1623013_s_at,CG3907,CG3907,FBgn0034958,---
1623014_at,CG18537,CG18537,FBgn0034323,---
1623015_at,CG7671,CG7671,FBgn0038609,---
1623016_at,CG1299,CG1299,FBgn0035501,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
1623017_at,CG7149,CG7149,FBgn0031948,"0006911 // phagocytosis, engulfment // inferred from mutant phenotype /// 0008654 // phospholipid biosynthetic process // inferred from electronic annotation"
1623018_at,CG12780,CG12780,FBgn0033301,---
1623019_a_at,CG30171,Unc-89,FBgn0053519,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation
1623020_at,CG31937,CG31937,FBgn0031360,0008152 // metabolic process // inferred from electronic annotation
1623021_at,CG11981,Prosbeta3,FBgn0026380,0006510 // ATP-dependent proteolysis // non-traceable author statement /// 0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation
1623022_at,CG15820,CG15820,FBgn0035312,---
1623023_at,CG1783,Slip1,FBgn0024728,---
1623024_at,HDC07424,---,---,---
1623025_at,CG3457,CG3457,FBgn0024984,---
1623026_a_at,CG7573,CG7573,FBgn0036153,---
1623027_s_at,CG6277,CG6277,FBgn0039475,0006629 // lipid metabolic process // inferred from electronic annotation
1623028_at,CG14872,CG14872,FBgn0038346,0006810 // transport // inferred from electronic annotation
1623029_at,CG31535,CG31535,,0006281 // DNA repair // inferred from genetic interaction /// 0006281 // DNA repair // inferred from electronic annotation /// 0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation /// 0006974 // response to DNA damage stimulus // inferred from electronic annotation /// 0007052 // mitotic spindle organization // inferred from mutant phenotype /// 0043687 // post-translational protein modification // inferred from electronic annotation /// 0051246 // regulation of protein metabolic process // inferred from electronic annotation /// 0051297 // centrosome organization // inferred from mutant phenotype
1623030_at,CG11726,CG11726,FBgn0036156,---
1623031_a_at,CG7487,RecQ4,FBgn0040290,0006260 // DNA replication // inferred from sequence or structural similarity /// 0006281 // DNA repair // inferred from sequence or structural similarity /// 0006310 // DNA recombination // inferred from electronic annotation
1623032_at,CG2336,CG2336,FBgn0037455,0008152 // metabolic process // inferred from electronic annotation
1623033_at,HDC04154,---,---,---
1623034_at,CG7026,CG7026,FBgn0038276,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0009058 // biosynthetic process // inferred from electronic annotation /// 0015986 // ATP synthesis coupled proton transport // inferred from electronic annotation /// 0015992 // proton transport // inferred from electronic annotation /// 0046034 // ATP metabolic process // inferred from electronic annotation
1623035_at,CG10207,NaPi-T,FBgn0016684,0006810 // transport // inferred from electronic annotation /// 0006817 // phosphate transport // inferred from electronic annotation
1623036_a_at,CG10249,CG10249,FBgn0027596,---
1623037_a_at,CG5594,CG5594,FBgn0025698,0006810 // transport // inferred from sequence or structural similarity /// 0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006814 // sodium ion transport // inferred from electronic annotation /// 0006821 // chloride transport // inferred from electronic annotation /// 0006865 // amino acid transport // inferred from sequence or structural similarity
1623038_at,CG31448,CG31448,FBgn0051448,---
1623039_at,CG3409,CG3409,FBgn0033095,0006810 // transport // inferred from electronic annotation
1623040_at,CG4449,CG4449,FBgn0039065,---
1623041_at,CG13745,CG13745,FBgn0033354,---
1623042_at,CG34187,CG34187,FBgn0085216,---
1623043_s_at,CG7852,CG7852,FBgn0035229,---
1623044_at,CG6519,Cp15,FBgn0000355,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007306 // eggshell chorion formation // non-traceable author statement
1623045_at,CG5277,Ip259,FBgn0025366,"0006911 // phagocytosis, engulfment // inferred from mutant phenotype"
1623046_at,CG32727,CG32727,FBgn0052727,0009408 // response to heat // inferred from sequence or structural similarity
1623047_at,GM05844,---,---,0007242 // intracellular signaling cascade // inferred from electronic annotation
1623048_a_at,CG17336,Lcch3,FBgn0010240,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation
1623049_at,CG9731,CG9731,FBgn0037640,---
1623050_at,CG5005,HLH54F,FBgn0022740,0045449 // regulation of transcription // inferred from electronic annotation
1623051_at,CG18125,CG18125,FBgn0028917,0006508 // proteolysis // inferred from electronic annotation
